Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2022-06-02 02:11:02,ZILUSDT,SELL,0.0501,201,10.0701,0.0100701,USDT
2022-06-01 20:56:35,ZILUSDT,BUY,0.04894,204.3,9.998442,0.2043,ZIL
2022-06-01 12:43:59,TLMUSDT,SELL,0.0369,2701,99.6669,0.0996669,USDT
2022-05-31 23:20:49,WINUSDT,SELL,0.000161,157667,25.384387,0.02538439,USDT
2022-05-31 23:20:49,WINUSDT,SELL,0.000161,260873,42.000553,0.04200055,USDT
2022-05-30 08:34:46,FTMUSDT,SELL,0.4021,72,28.9512,0.0289512,USDT
2022-05-29 12:06:07,ADAUSDT,SELL,0.473,195,92.235,0.092235,USDT
2022-05-29 12:02:55,KNCUSDT,SELL,1.879,49.2,92.4468,0.0924468,USDT
2022-05-29 11:36:02,ADAUSDT,BUY,0.4681,195.2,91.37312,0.1952,ADA
2022-05-29 11:32:57,KNCUSDT,BUY,1.852,49.3,91.3036,0.0493,KNC
2022-05-29 11:26:06,ZILUSDT,SELL,0.04722,3872.7,182.868894,0.18286889,USDT
2022-05-29 10:26:04,ZILUSDT,BUY,0.04723,2012,95.02676,2.012,ZIL
2022-05-26 22:52:46,FTMUSDT,BUY,0.3892,72,28.0224,0.00006763,BNB
2022-05-26 05:36:05,WINUSDT,BUY,0.000158,418959,66.195522,418.959,WIN
2022-05-25 16:39:06,REQUSDT,SELL,0.13,509,66.17,0.06617,USDT
2022-05-25 04:47:13,REQUSDT,BUY,0.1285,510,65.535,0.51,REQ
2022-05-25 02:17:18,WINUSDT,SELL,0.0001777,369682,65.6924914,0.06569249,USDT
2022-05-24 21:44:23,WINUSDT,BUY,0.000174,236501,41.151174,0.000094,BNB
2022-05-24 21:44:23,WINUSDT,BUY,0.0001741,133181,23.1868121,0.00005293,BNB
2022-05-24 15:45:15,FTMUSDT,SELL,0.4182,153,63.9846,0.00014996,BNB
2022-05-24 13:30:18,FTMUSDT,BUY,0.409,153,62.577,0.00014563,BNB
2022-05-24 09:59:52,PONDUSDT,SELL,0.011,5720.94,62.93034,0.00014652,BNB
2022-05-23 22:01:46,PONDUSDT,BUY,0.01049,5720.94,60.0126606,0.00013965,BNB
2022-05-23 12:37:47,SLPUSDT,BUY,0.00603,11510,69.4053,11.51,SLP
2022-05-23 07:14:43,ZILUSDT,SELL,0.0568,1853.1,105.25608,0.10525608,USDT
2022-05-23 02:34:36,ZILUSDT,BUY,0.0545,1853.1,100.99395,1.8531,ZIL
